37.734612,-122.508373,0
37.734612,-122.507873,0
37.734612,-122.507373,0
37.734612,-122.506873,7
37.734612,-122.506373,8
37.734612,-122.505873,7
37.734612,-122.505373,6
37.734612,-122.504873,5
37.734612,-122.504373,5
37.734612,-122.503873,7
37.734612,-122.503373,7
37.734612,-122.502873,8
37.734612,-122.502373,9
37.734612,-122.501873,13
37.734612,-122.501373,16
37.734612,-122.500873,19
37.734612,-122.500373,25
37.734612,-122.499873,23
37.734612,-122.499373,21
37.734612,-122.498873,21
37.734612,-122.498373,20
37.734612,-122.497873,21
37.734612,-122.497373,24
37.734612,-122.496873,27
37.734612,-122.496373,28
37.734612,-122.495873,28
37.734612,-122.495373,28
37.734612,-122.494873,30
37.734612,-122.494373,32
37.734612,-122.493873,34
37.734612,-122.493373,35
37.734612,-122.492873,35
37.734612,-122.492373,36
37.734612,-122.491873,37
37.734612,-122.491373,38
37.734612,-122.490873,39
37.734612,-122.490373,38
37.734612,-122.489873,37
37.734612,-122.489373,37
37.734612,-122.488873,36
37.734612,-122.488373,35
37.734612,-122.487873,38
37.734612,-122.487373,38
37.734612,-122.486873,38
37.734612,-122.486373,37
37.734612,-122.485873,37
37.734612,-122.485373,40
37.734612,-122.484873,43
37.734612,-122.484373,42
37.734612,-122.483873,45
37.734612,-122.483373,48
37.734612,-122.482873,48
37.734612,-122.482373,50
37.734612,-122.481873,50
37.734612,-122.481373,50
37.734612,-122.480873,52
37.734612,-122.480373,55
37.734612,-122.479873,57
37.734612,-122.479373,58
37.734612,-122.478873,61
37.734612,-122.478373,62
37.734612,-122.477873,64
37.734612,-122.477373,63
37.734612,-122.476873,67
37.734612,-122.476373,71
37.734612,-122.475873,72
37.734612,-122.475373,74
37.734612,-122.474873,73
37.734612,-122.474373,73
37.734612,-122.473873,74
37.734612,-122.473373,73
37.734612,-122.472873,79
37.734612,-122.472373,82
37.734612,-122.471873,84
37.734612,-122.471373,88
37.734612,-122.470873,90
37.734612,-122.470373,92
37.734612,-122.469873,93
37.734612,-122.469373,95
37.734612,-122.468873,101
37.734612,-122.468373,102
